ID;CODE;WALLET;SOURCE;
67;4UgYvN;0xD363B5FE1b7516A3ed981a531E5d1eC34214aEC3;Physical Sale;
68;4RiaMh;0xeC30c6bffD1ABf0F1A9Cf46f5F2e0D13EBB75d08;Physical Sale;
69;5z9pYk;0x6900f06aBA513218095Bbf96DA8aDBe76Efe6aD1;Physical Sale;
70;6RMcLd;0x6E31349864f0654C5d0a32CF6fb5Ff8AeBCD523A;Physical Sale;
71;6C1ioY;0x42Ee6bC9A545eE89083f5f68820b6882b89645C7;Physical Sale;
72;6obRZq;0x79D3b42C97B6a3e4f0B31b52fc782A367234d140;Physical Sale;
73;78sGEL;0xc4d2111e4376F192c479dC96363f9eD998bd1dAA;Physical Sale;
74;3Nw5of;0x1d1740C3bB15F5D9f31a3791393Bd16655b32Bc3;Physical Sale;
75;7ND9mU;0x04f2eA694cAD30F539080BA42e2E4579d401786B;Physical Sale;
76;5T25dd;0x6730B4F1E19A70bf7cAC5242D77e574807f34411;Physical Sale;
77;5omuaU;0x7f17cF3B2e96a207Cf9f294CC310A1FF8523610a;Physical Sale;
78;BS9a5;0x59d92E355623Dbb53165A42972c429955d163990;Physical Sale;
79;6gBVAE;0x9d1fBD2d157404E18a533e1285C422685dFF1C62;Physical Sale;
80;2EDe8F;0xcbA44Cc6Cd8a9E240Bc9B7E24469Fa2bC956368B;Physical Sale;
81;4f4Tu2;0x5507db1Ad0bd88341767b5D42d093cA701e4ea94;Physical Sale;
82;4CNgpq;0x1D818891c3B7fB3D1110300A4B0616069B95bB30;Physical Sale;
83;4tQMSA;0x42726f0845C03aE41de8C7d066c74A5dc91ca541;Physical Sale;
84;4UgYvf;0xF84C27eE5A4ff7D3126fF562A120E0bD71136706;Physical Sale;
85;6VoaBv;0x21b29b31ecBb9167A46A3EbfCCDEE2325b058bdD;Physical Sale;
86;pVqcq;0xBf01177A39fe809e20AB7d48a06768e80B0c63D0;Physical Sale;
87;78sGEa;0x9fAdE4B10c3e7eCc000d2CB612e05CCCD3388cD0;Physical Sale;
88;5WCSs;0x05593368917714C2163ab2659c4518E3315b083a;Physical Sale;
89;3Ky7FE;0x49E7eddFcdF04E6e8f7bE9254393F4bAeB07Ce85;Physical Sale;
90;8UB1b;0x8A092fbF83c9D2dd476fbF66Ed8AdA243b52C3bE;Physical Sale;
91;6xVMGE;0xfA76c06A61a872e5f7024b76879c0E8Dfb2EB644;Physical Sale;
92;2iPQV1;0xc7bc64C1Ec6bcd7C8C1A11F3638E8688dcbD1687;Physical Sale;
93;2P7ZpY;0x2D356Ed5b237D6e3B55f7C6a53Bd2F84D817EF6c;Physical Sale;
94;3Nw5p1;0x7697E3aEaCFcC83d2B82AAF9cD51Ab99CE9F8e4E;Physical Sale;
95;5z9pZC;0x3739C6Ede3fdAbb86491526cAcEf05d2A2E91a41;Physical Sale;
96;3wYp1d;0xfC0645Bd5F19EDfcF09AEb70BFEACfD615B363A3;Physical Sale;
97;k3smz;0x3edc37d8e747F0137f1241aEef4aFd057F786DB4;Physical Sale;
98;5J89ww;0x2a184b61CeB52CE82116f1A1c795778321450328;Physical Sale;
99;2YDtN;0x9446E3427aae5bd39B8e4f37dA864A26a4c040b7;Physical Sale;
100;2mMP3q;0x39CC83C630cD1c0c0B1c6bCCC9A5276DCfd5F6BD;Physical Sale;
101;3taqT2;0x81dbd75B1442b4A069933BEeE99B0264b6546D56;Physical Sale;
102;3CZAqj;0x803e4815128Ef1bc553802F60a1b53842bc0eAd7;Physical Sale;
103;2CjerJ;0xf765C0AED03270AF327c91a282bc08f130105c36;Physical Sale;
104;2V3Wx7;0xF8f912D0795B752587b2a11B6218CdfB40aB97A6;Physical Sale;
105;6DVi6U;0x78f462D4fc01165fcE77f22C85e2F584f2778FDE;Physical Sale;
106;5Yx2mX;0xBC8A92AB3569dd90CCa3199A5eBf1937407C1429;Physical Sale;
107;qypuY;0x43ACC69a942B4b1545ede1becE65f6C17fe0604a;Physical Sale;
108;5FABPR;0x1C06Bbb31aB24db4252BE559D05f2c755721958C;Physical Sale;
109;6AXjXr;0x05d1b17769f9D643b293Da87DAb544Fc6083734A;Physical Sale;
110;2wjJ2R;0xE8C9862A2459f9cE6ebd17Fe7Ca6B577A0680E97;Physical Sale;
111;fbuwC;0x5AE26b9CD449CD73218D6c61a223d82B6175B44f;Physical Sale;
112;2YDtb;0x91A810835A1Ad4aD8EF862360e9B931B6D5DE78E;Physical Sale;
113;4xrKHi;0x3E4BA816Af7c0C2A44D01A4b5feA068427AEdAa7;Physical Sale;
114;3cGyMT;0xe62A5E8a3eDF72dBe79c2b4AE24b3708B375453b;Physical Sale;
115;2HBchY;0x4a53Ffd2463a4757ebc6461cCAB131AF4f82a1E5;Physical Sale;
116;71TKqM;0x31D9f10fC9AE237D1204Bcb30Dd2C2F4a905Cd1F;Physical Sale;
117;47vizQ;0xd32F01e105583234a62E8d2a6C0F700E31aa7de6;Physical Sale;
